Chain_ID,Squad,from,to,Type,chains.start,chain.end,Dist_to_Goal
667,GWS GIANTS,Josh Kelly,Toby McMullin,Kick Ineffective,Stoppage,Turnover,78.6
667,GWS GIANTS,Toby McMullin,Toby Bedford,Handball Ineffective,Stoppage,Turnover,75.1
667,GWS GIANTS,Toby Bedford,Toby McMullin,Handball Effective,Stoppage,Turnover,77.8
667,GWS GIANTS,Toby McMullin,,Kick Effective Long,Stoppage,Turnover,65.9
669,GWS GIANTS,Connor Idun,Kieren Briggs,Handball Ineffective,Intercept,Turnover,133.1
669,GWS GIANTS,Kieren Briggs,,Ground Kick,Intercept,Turnover,122.7
671,GWS GIANTS,Nick Haynes,Lachie Whitfield,Handball Effective,Intercept,Turnover,150.6
671,GWS GIANTS,Lachie Whitfield,Toby McMullin,Kick Effective Short,Intercept,Turnover,153
671,GWS GIANTS,Toby McMullin,Callum M. Brown,Kick Effective Long,Intercept,Turnover,139.3
671,GWS GIANTS,Callum M. Brown,Jesse Hogan,Kick Effective Long,Intercept,Turnover,99.9
673,GWS GIANTS,Toby Bedford,Brent Daniels,Kick Effective Short,Intercept,Turnover,84.5
675,GWS GIANTS,Harry Himmelberg,Nick Haynes,Kick Effective Short,Intercept,Stoppage,91.3
675,GWS GIANTS,Nick Haynes,,Kick Effective Long,Intercept,Stoppage,71.3
677,GWS GIANTS,Harry Himmelberg,Jesse Hogan,Kick Effective Long,Intercept,Score,59.5
677,GWS GIANTS,Josh Kelly,Jesse Hogan,Kick Ineffective,Intercept,Score,28.2
677,GWS GIANTS,Jesse Hogan,Aaron Cadman,Handball Effective,Intercept,Score,21.7
677,GWS GIANTS,Aaron Cadman,,Kick Effective Short,Intercept,Score,20.5
679,GWS GIANTS,Lachie Whitfield,Xavier O'Halloran,Handball Ineffective,Stoppage,Pre-Clearance Turnover,89.9
679,GWS GIANTS,Xavier O'Halloran,,Ground Kick,Stoppage,Pre-Clearance Turnover,87.2
681,GWS GIANTS,Tom Green,,Kick Ineffective,Stoppage,Stoppage,142.5
683,GWS GIANTS,Lachie Ash,Lachie Whitfield,Kick Effective Short,Kick-in,Stoppage,157.9
683,GWS GIANTS,Lachie Whitfield,,Kick Effective Long,Kick-in,Stoppage,145.6
685,GWS GIANTS,Connor Idun,,Handball Ineffective,Intercept,Stoppage,156.4
