SEASON_ID,GROUP_ROUND,MATCH_ID,shots.period,shots.periodSecs,shots.player.displayName,PERSON_ID,shots.squad.code,SQUAD_NAME,shots.details.angleGroup,shots.details.distanceGroup,shots.details.origin,shots.details.type,shots.details.location.x,shots.details.location.xStd,shots.details.location.y,shots.details.location.yStd,shots.details.locationRotated.x,shots.details.locationRotated.xStd,shots.details.locationRotated.y,shots.details.locationRotated.yStd,shots.result.name,shots.result.code,shots.result.points,shots.result.pointsExpected,shots.result.accuracyExpected,shots.score.homePoints,shots.score.awayPoints
2023,R19,266839057,3,1344,J.Cameron,293845,GEEL,Geelong Cats,Left Corridor,30-40m,Mark,Set Shot Regular,-41.3,-42.4,-9.8,-10,41.3,42.4,9.8,10,Goal,G,6,4.078869048,0.619047619,51,20
2023,R19,266839057,3,1477,P.Dangerfield,270917,GEEL,Geelong Cats,Right Corridor,50m+,Mark,Set Shot Regular,-27,-27.7,20.6,21,27,27.7,-20.6,-21,Goal,G,6,2.312530237,0.326076439,51,26
2023,R19,266839057,4,71,J.Daniher,294518,BL,Brisbane Lions,In Front,30-40m,Free Kick,Set Shot Regular,-44,-45.1,-0.6,-0.6,44,45.1,0.6,0.6,Goal,G,6,4.746924429,0.750439367,57,26
2023,R19,266839057,4,196,J.Cameron,293845,GEEL,Geelong Cats,Left Corridor,30-40m,Mark,Set Shot Regular,48.2,49.4,16.4,16.8,48.2,49.4,16.4,16.8,Goal,G,6,4.078869048,0.619047619,57,32
2023,R19,266839057,4,321,O.Henry,1012860,GEEL,Geelong Cats,In Front,0-15m,General Play,General Play Snap,71.4,73.2,-2.5,-2.6,71.4,73.2,-2.5,-2.6,Goal,G,6,4.753488372,0.762790698,57,38
2023,R19,266839057,4,445,O.Henry,1012860,GEEL,Geelong Cats,Right Boundary,40-50m,Mark,Set Shot Regular,59.5,61,-42.7,-43.6,59.5,61,-42.7,-43.6,Behind,B,1,1.845360825,0.244845361,57,39
2023,R19,266839057,4,703,O.Henry,1012860,GEEL,Geelong Cats,Right Corridor,15-30m,General Play,General Play Snap,48.6,49.8,-5.6,-5.7,48.6,49.8,-5.6,-5.7,Behind,B,1,4.494382022,0.70505618,57,40
2023,R19,266839057,4,817,J.Cameron,293845,GEEL,Geelong Cats,Left Corridor,0-15m,Mark,Set Shot Snap,68.1,69.8,7.6,7.8,68.1,69.8,7.6,7.8,Goal,G,6,5.872881356,0.974576271,57,46
2023,R19,266839057,4,1052,C.Ah Chee,298437,BL,Brisbane Lions,In Front,30-40m,Mark,Set Shot Regular,-44.4,-45.5,-2.9,-3,44.4,45.5,2.9,3,Goal,G,6,4.746924429,0.750439367,63,46
2023,R19,266839057,4,1400,T.Stengle,997230,GEEL,Geelong Cats,Left Acute,15-30m,Free Kick,Set Shot Snap,61,62.6,19.3,19.7,61,62.6,19.3,19.7,Goal,G,6,4.263269639,0.66029724,64,52
2023,R19,266839057,4,1811,J.Cameron,293845,GEEL,Geelong Cats,Left Acute,50m+,Mark,Set Shot Regular,42.5,43.6,40.7,41.6,42.5,43.6,40.7,41.6,Behind,B,1,1.810810811,0.222972973,64,53
2023,R19,266841137,1,67,J.Treacy,1012819,FREM,Fremantle,Left Corridor,30-40m,Mark,Set Shot Regular,44.8,43.4,6.2,6.7,44.8,43.4,6.2,6.7,Goal,G,6,4.306197286,0.665199853,6,0
2023,R19,266841137,1,203,M.Walters,281007,FREM,Fremantle,Left Corridor,40-50m,Mark,Set Shot Regular,47.6,46.2,26.2,28.4,47.6,46.2,26.2,28.4,Behind,B,1,3.36774744,0.492320819,7,0
2023,R19,266841137,1,348,I.Heeney,298539,SYD,Sydney Swans,Right Corridor,50m+,General Play,General Play Regular,-25,-24.2,19.9,21.6,25,24.2,-19.9,-21.6,Goal,G,6,2.411082474,0.329896907,7,6
2023,R19,266841137,1,912,W.Hayward,997100,SYD,Sydney Swans,Left Corridor,40-50m,Mark,Set Shot Regular,-34.1,-33.1,-8.5,-9.2,34.1,33.1,8.5,9.2,Goal,G,6,3.475141736,0.514391627,7,12
2023,R19,266841137,1,1028,W.Hayward,997100,SYD,Sydney Swans,Right Acute,30-40m,Free Kick,Set Shot Regular,-57.5,-55.8,21.3,23.1,57.5,55.8,-21.3,-23.1,Goal,G,6,3.118653422,0.444260486,7,18
2023,R19,266841137,1,1204,L.McDonald,1013230,SYD,Sydney Swans,Left Corridor,30-40m,General Play,General Play Snap,-51.7,-50.1,-10.8,-11.7,51.7,50.1,10.8,11.7,Goal,G,6,2.42703533,0.33640553,7,24
2023,R19,266841137,1,1358,C.Mills,993905,SYD,Sydney Swans,Left Corridor,40-50m,Mark,Set Shot Regular,-46,-44.6,-30.3,-32.9,46,44.6,30.3,32.9,Goal,G,6,3.475141736,0.514391627,7,30
2023,R19,266841137,1,1479,T.Papley,996765,SYD,Sydney Swans,Left Corridor,30-40m,General Play,General Play Snap,-45,-43.6,-4.5,-4.9,45,43.6,4.5,4.9,Missed Shot,M,0,2.63322884,0.376175549,7,31
2023,R19,266841137,1,1572,T.Papley,996765,SYD,Sydney Swans,Left Acute,30-40m,General Play,General Play Snap,-58.5,-56.7,-23.7,-25.7,58.5,56.7,23.7,25.7,Goal,G,6,2.532051282,0.358974359,7,38
2023,R19,266841137,1,1738,S.Switkowski,992059,FREM,Fremantle,Right Corridor,30-40m,Mark,Set Shot Regular,47.8,46.3,-9.9,-10.7,47.8,46.3,-9.9,-10.7,Goal,G,6,4.301079137,0.663669065,13,38
2023,R19,266841137,2,228,E.Gulden,1013128,SYD,Sydney Swans,Left Corridor,30-40m,General Play,General Play Snap,50.9,49.4,4.4,4.8,50.9,49.4,4.4,4.8,Goal,G,6,2.63322884,0.376175549,13,44
2023,R19,266841137,2,356,L.McDonald,1013230,SYD,Sydney Swans,Right Acute,30-40m,General Play,General Play Snap,62.8,60.9,-27.7,-30,62.8,60.9,-27.7,-30,Behind,B,1,2.067620286,0.269180754,13,45
2023,R19,266841137,2,590,A.Brayshaw,1002232,FREM,Fremantle,In Front,0-15m,General Play,General Play Regular,-70.5,-68.4,-0.7,-0.8,70.5,68.4,0.7,0.8,Goal,G,6,4.753488372,0.762790698,19,45
2023,R19,266841137,2,809,C.Mills,993905,SYD,Sydney Swans,Right Corridor,30-40m,Mark,Set Shot Regular,46.8,45.4,-14.4,-15.6,46.8,45.4,-14.4,-15.6,Goal,G,6,4.301079137,0.663669065,19,51
